id_fix,id_ave,especie,nombre_comun,sexo,timestamp,fecha_hora_local,lon,lat,x_utm,y_utm,hdop,n_sat,bateria_v
1,ANS01,Anser anser,Ánsar común,M,2019-10-24T13:01:19Z,2019-10-24 15:01:19,-6.410816,38.120981,726968.0,4222405.3,1.5,8,4.07
2,ANS01,Anser anser,Ánsar común,M,2019-10-24T14:02:25Z,2019-10-24 16:02:25,-6.370815,37.8272,731396.3,4189900.1,1.9,11,4.06
3,ANS01,Anser anser,Ánsar común,M,2019-10-24T15:02:25Z,2019-10-24 17:02:25,-6.33129,37.533334,735804.7,4157386.6,1.8,5,4.0
4,ANS01,Anser anser,Ánsar común,M,2019-10-24T16:00:26Z,2019-10-24 18:00:26,-6.291739,37.239882,740235.5,4124921.1,2.7,7,3.91
5,ANS01,Anser anser,Ánsar común,M,2019-10-24T17:00:37Z,2019-10-24 19:00:37,-6.252542,36.946323,744656.0,4092445.2,1.3,7,3.85
6,ANS01,Anser anser,Ánsar común,M,2019-10-24T18:00:36Z,2019-10-24 20:00:36,-6.253059,36.94597,744611.0,4092404.7,1.5,8,3.78
7,ANS01,Anser anser,Ánsar común,M,2019-10-24T19:00:39Z,2019-10-24 21:00:39,-6.252871,36.945602,744629.0,4092364.4,2.1,12,3.68
8,ANS01,Anser anser,Ánsar común,M,2019-10-24T20:02:28Z,2019-10-24 22:02:28,-6.253215,36.945785,744597.8,4092383.7,1.9,6,3.68
9,ANS01,Anser anser,Ánsar común,M,2019-10-24T21:00:09Z,2019-10-24 23:00:09,-6.252774,36.945627,744637.6,4092367.4,1.5,12,3.74
10,ANS01,Anser anser,Ánsar común,M,2019-10-24T22:01:49Z,2019-10-25 00:01:49,-6.251995,36.946337,744704.6,4092448.1,1.7,10,3.79
11,ANS01,Anser anser,Ánsar común,M,2019-10-24T23:01:36Z,2019-10-25 01:01:36,-6.253155,36.946338,744601.3,4092445.3,1.6,5,3.74
12,ANS01,Anser anser,Ánsar común,M,2019-10-25T00:01:55Z,2019-10-25 02:01:55,-6.252819,36.946202,744631.7,4092431.0,1.5,5,3.76
13,ANS01,Anser anser,Ánsar común,M,2019-10-25T01:02:10Z,2019-10-25 03:02:10,-6.252952,36.946334,744619.4,4092445.4,2.3,8,3.7
14,ANS01,Anser anser,Ánsar común,M,2019-10-25T02:01:45Z,2019-10-25 04:01:45,-6.252232,36.94627,744683.8,4092440.1,1.3,7,3.73
15,ANS01,Anser anser,Ánsar común,M,2019-10-25T03:01:39Z,2019-10-25 05:01:39,-6.252774,36.946725,744634.1,4092489.2,2.2,7,3.69
16,ANS01,Anser anser,Ánsar común,M,2019-10-25T04:02:05Z,2019-10-25 06:02:05,-6.252125,36.946205,744693.5,4092433.1,2.2,6,3.73
17,ANS01,Anser anser,Ánsar común,M,2019-10-25T05:00:27Z,2019-10-25 07:00:27,-6.252765,36.946222,744636.4,4092433.4,1.2,11,3.8
18,ANS01,Anser anser,Ánsar común,M,2019-10-25T06:02:15Z,2019-10-25 08:02:15,-6.214263,37.107244,747542.2,4110401.6,1.1,10,3.91
19,ANS01,Anser anser,Ánsar común,M,2019-10-25T07:01:54Z,2019-10-25 09:01:54,-6.21653,37.106325,747343.6,4110293.8,2.1,10,3.98
20,ANS01,Anser anser,Ánsar común,M,2019-10-25T08:01:05Z,2019-10-25 10:01:05,-6.21484,37.105303,747497.2,4110184.8,1.7,10,4.09
