recinto,fecha,sensor,agua_ha,pct_inundado,pct_rellenado
El Rincon del Pescador,2019-09-03,Landsat 7 ETM+,38.0,1.1,0.0
El Rincon del Pescador,2019-09-11,Landsat 8 OLI,39.3,1.1,2.3
El Rincon del Pescador,2019-09-19,Landsat 7 ETM+,24.7,0.7,1.1
El Rincon del Pescador,2019-09-27,Landsat 8 OLI,22.6,0.6,0.0
El Rincon del Pescador,2019-10-13,Landsat 8 OLI,50.7,1.4,15.4
El Rincon del Pescador,2019-10-21,Landsat 7 ETM+,13.8,0.4,0.0
El Rincon del Pescador,2019-11-06,Landsat 7 ETM+,5.2,0.1,0.0
El Rincon del Pescador,2019-11-30,Landsat 8 OLI,27.6,0.8,0.0
El Rincon del Pescador,2019-12-08,Landsat 7 ETM+,22.9,0.7,0.0
El Rincon del Pescador,2019-12-24,Landsat 7 ETM+,54.5,1.6,1.0
El Rincon del Pescador,2020-01-01,Landsat 8 OLI,53.1,1.5,0.1
El Rincon del Pescador,2020-02-02,Landsat 8 OLI,588.2,16.8,1.2
El Rincon del Pescador,2020-02-10,Landsat 7 ETM+,449.0,12.8,0.0
El Rincon del Pescador,2020-02-18,Landsat 8 OLI,411.0,11.7,0.0
El Rincon del Pescador,2020-02-26,Landsat 7 ETM+,311.9,8.9,0.1
El Rincon del Pescador,2020-03-29,Landsat 7 ETM+,358.8,10.2,1.5
El Rincon del Pescador,2020-05-24,Landsat 8 OLI,527.3,15.1,0.0
El Rincon del Pescador,2020-06-09,Landsat 8 OLI,248.0,7.1,0.0
El Rincon del Pescador,2020-06-17,Landsat 7 ETM+,176.2,5.0,0.1
El Rincon del Pescador,2020-07-03,Landsat 7 ETM+,122.9,3.5,0.3
El Rincon del Pescador,2020-07-11,Landsat 8 OLI,104.2,3.0,0.0
El Rincon del Pescador,2020-07-19,Landsat 7 ETM+,89.9,2.6,0.3
El Rincon del Pescador,2020-07-27,Landsat 8 OLI,89.0,2.5,0.0
El Rincon del Pescador,2020-08-04,Landsat 7 ETM+,83.3,2.4,3.5
El Rincon del Pescador,2020-08-20,Landsat 7 ETM+,60.7,1.7,0.2
El Rincon del Pescador,2020-08-28,Landsat 8 OLI,51.0,1.5,0.0
Marismillas,2019-09-03,Landsat 7 ETM+,28.5,0.7,0.3
Marismillas,2019-09-11,Landsat 8 OLI,1.9,0.0,0.0
Marismillas,2019-09-19,Landsat 7 ETM+,12.1,0.3,0.0
Marismillas,2019-09-27,Landsat 8 OLI,7.3,0.2,0.0
Marismillas,2019-10-13,Landsat 8 OLI,22.0,0.6,17.5
Marismillas,2019-10-21,Landsat 7 ETM+,12.0,0.3,1.4
Marismillas,2019-11-06,Landsat 7 ETM+,81.7,2.1,6.9
Marismillas,2019-11-30,Landsat 8 OLI,35.5,0.9,0.0
Marismillas,2019-12-08,Landsat 7 ETM+,12.3,0.3,2.3
Marismillas,2019-12-24,Landsat 7 ETM+,123.5,3.2,63.8
Marismillas,2020-01-01,Landsat 8 OLI,55.9,1.4,0.0
Marismillas,2020-02-02,Landsat 8 OLI,1493.6,38.7,2.6
Marismillas,2020-02-10,Landsat 7 ETM+,1300.1,33.7,9.2
Marismillas,2020-02-18,Landsat 8 OLI,1162.0,30.1,0.3
Marismillas,2020-02-26,Landsat 7 ETM+,846.4,21.9,4.1
Marismillas,2020-03-29,Landsat 7 ETM+,903.9,23.4,29.2
Marismillas,2020-05-24,Landsat 8 OLI,720.4,18.7,0.0
Marismillas,2020-06-09,Landsat 8 OLI,125.2,3.2,2.9
Marismillas,2020-06-17,Landsat 7 ETM+,50.5,1.3,6.5
Marismillas,2020-07-03,Landsat 7 ETM+,1.2,0.0,3.9
Marismillas,2020-07-11,Landsat 8 OLI,1.0,0.0,0.0
Marismillas,2020-07-19,Landsat 7 ETM+,0.9,0.0,3.9
Marismillas,2020-07-27,Landsat 8 OLI,9.8,0.3,0.0
Marismillas,2020-08-04,Landsat 7 ETM+,15.8,0.4,22.7
Marismillas,2020-08-20,Landsat 7 ETM+,4.9,0.1,3.6
Marismillas,2020-08-28,Landsat 8 OLI,1.4,0.0,0.0
Caracoles,2019-09-03,Landsat 7 ETM+,0.0,0.0,3.5
Caracoles,2019-09-11,Landsat 8 OLI,0.0,0.0,0.0
Caracoles,2019-09-19,Landsat 7 ETM+,0.0,0.0,3.3
Caracoles,2019-09-27,Landsat 8 OLI,0.0,0.0,0.0
Caracoles,2019-10-13,Landsat 8 OLI,11.4,0.4,32.0
Caracoles,2019-10-21,Landsat 7 ETM+,0.3,0.0,5.3
Caracoles,2019-11-06,Landsat 7 ETM+,0.0,0.0,5.7
Caracoles,2019-11-30,Landsat 8 OLI,0.0,0.0,0.0
Caracoles,2019-12-08,Landsat 7 ETM+,0.0,0.0,5.7
Caracoles,2019-12-24,Landsat 7 ETM+,0.0,0.0,9.5
Caracoles,2020-01-01,Landsat 8 OLI,0.0,0.0,0.2
Caracoles,2020-02-02,Landsat 8 OLI,410.3,15.1,18.8
Caracoles,2020-02-10,Landsat 7 ETM+,320.8,11.8,8.3
Caracoles,2020-02-18,Landsat 8 OLI,257.7,9.5,0.0
Caracoles,2020-02-26,Landsat 7 ETM+,201.6,7.4,7.8
Caracoles,2020-03-29,Landsat 7 ETM+,230.0,8.5,12.8
Caracoles,2020-05-24,Landsat 8 OLI,112.0,4.1,0.0
Caracoles,2020-06-09,Landsat 8 OLI,8.2,0.3,0.0
Caracoles,2020-06-17,Landsat 7 ETM+,1.8,0.1,7.4
Caracoles,2020-07-03,Landsat 7 ETM+,0.2,0.0,8.5
Caracoles,2020-07-11,Landsat 8 OLI,0.0,0.0,0.0
Caracoles,2020-07-19,Landsat 7 ETM+,0.0,0.0,8.6
Caracoles,2020-07-27,Landsat 8 OLI,0.0,0.0,0.0
Caracoles,2020-08-04,Landsat 7 ETM+,7.1,0.3,22.7
Caracoles,2020-08-20,Landsat 7 ETM+,0.0,0.0,8.3
Caracoles,2020-08-28,Landsat 8 OLI,0.0,0.0,0.0
FAO,2019-09-03,Landsat 7 ETM+,0.0,0.0,0.0
FAO,2019-09-11,Landsat 8 OLI,0.0,0.0,0.0
FAO,2019-09-19,Landsat 7 ETM+,0.0,0.0,0.0
FAO,2019-09-27,Landsat 8 OLI,0.0,0.0,0.0
FAO,2019-10-13,Landsat 8 OLI,4.0,6.1,0.1
FAO,2019-10-21,Landsat 7 ETM+,13.0,20.2,0.0
FAO,2019-11-06,Landsat 7 ETM+,25.2,38.9,0.0
FAO,2019-11-30,Landsat 8 OLI,37.1,57.3,0.0
FAO,2019-12-08,Landsat 7 ETM+,38.5,59.5,3.8
FAO,2019-12-24,Landsat 7 ETM+,38.2,59.0,0.3
FAO,2020-01-01,Landsat 8 OLI,40.9,63.3,4.7
FAO,2020-02-02,Landsat 8 OLI,42.8,66.2,2.9
FAO,2020-02-10,Landsat 7 ETM+,44.5,68.8,0.1
FAO,2020-02-18,Landsat 8 OLI,44.6,69.0,0.0
FAO,2020-02-26,Landsat 7 ETM+,43.3,66.9,0.0
FAO,2020-03-29,Landsat 7 ETM+,47.4,73.3,0.0
FAO,2020-05-24,Landsat 8 OLI,43.6,67.5,0.0
FAO,2020-06-09,Landsat 8 OLI,41.4,64.0,0.0
FAO,2020-06-17,Landsat 7 ETM+,35.3,54.5,0.0
FAO,2020-07-03,Landsat 7 ETM+,17.9,27.7,0.0
FAO,2020-07-11,Landsat 8 OLI,14.2,22.0,0.0
FAO,2020-07-19,Landsat 7 ETM+,12.7,19.6,0.0
FAO,2020-07-27,Landsat 8 OLI,13.5,20.9,0.0
FAO,2020-08-04,Landsat 7 ETM+,8.6,13.4,1.1
FAO,2020-08-20,Landsat 7 ETM+,3.7,5.7,0.0
FAO,2020-08-28,Landsat 8 OLI,2.1,3.2,0.0
Marisma Occidental,2019-09-03,Landsat 7 ETM+,0.2,0.0,0.0
Marisma Occidental,2019-09-11,Landsat 8 OLI,1.2,0.0,0.0
Marisma Occidental,2019-09-19,Landsat 7 ETM+,0.0,0.0,0.2
Marisma Occidental,2019-09-27,Landsat 8 OLI,0.3,0.0,0.0
Marisma Occidental,2019-10-13,Landsat 8 OLI,81.5,0.7,14.6
Marisma Occidental,2019-10-21,Landsat 7 ETM+,6.2,0.1,0.0
Marisma Occidental,2019-11-06,Landsat 7 ETM+,45.0,0.4,0.0
Marisma Occidental,2019-11-30,Landsat 8 OLI,48.5,0.4,0.0
Marisma Occidental,2019-12-08,Landsat 7 ETM+,45.2,0.4,0.0
Marisma Occidental,2019-12-24,Landsat 7 ETM+,260.1,2.2,4.3
Marisma Occidental,2020-01-01,Landsat 8 OLI,269.0,2.3,0.0
Marisma Occidental,2020-02-02,Landsat 8 OLI,4754.6,40.7,5.5
Marisma Occidental,2020-02-10,Landsat 7 ETM+,4334.8,37.1,0.5
Marisma Occidental,2020-02-18,Landsat 8 OLI,4127.9,35.4,0.0
Marisma Occidental,2020-02-26,Landsat 7 ETM+,3371.3,28.9,0.2
Marisma Occidental,2020-03-29,Landsat 7 ETM+,3922.0,33.6,28.1
Marisma Occidental,2020-05-24,Landsat 8 OLI,4835.6,41.4,0.0
Marisma Occidental,2020-06-09,Landsat 8 OLI,2510.5,21.5,0.0
Marisma Occidental,2020-06-17,Landsat 7 ETM+,1502.5,12.9,0.4
Marisma Occidental,2020-07-03,Landsat 7 ETM+,286.3,2.5,0.8
Marisma Occidental,2020-07-11,Landsat 8 OLI,85.9,0.7,0.0
Marisma Occidental,2020-07-19,Landsat 7 ETM+,23.0,0.2,0.8
Marisma Occidental,2020-07-27,Landsat 8 OLI,10.3,0.1,0.0
Marisma Occidental,2020-08-04,Landsat 7 ETM+,30.6,0.3,9.8
Marisma Occidental,2020-08-20,Landsat 7 ETM+,1.7,0.0,0.5
Marisma Occidental,2020-08-28,Landsat 8 OLI,1.3,0.0,0.0
Marisma Oriental,2019-09-03,Landsat 7 ETM+,10.8,0.1,3.7
Marisma Oriental,2019-09-11,Landsat 8 OLI,5.8,0.1,0.0
Marisma Oriental,2019-09-19,Landsat 7 ETM+,3.5,0.0,23.6
Marisma Oriental,2019-09-27,Landsat 8 OLI,6.6,0.1,0.0
Marisma Oriental,2019-10-13,Landsat 8 OLI,82.3,0.9,21.1
Marisma Oriental,2019-10-21,Landsat 7 ETM+,16.1,0.2,4.9
Marisma Oriental,2019-11-06,Landsat 7 ETM+,13.9,0.1,5.9
Marisma Oriental,2019-11-30,Landsat 8 OLI,21.9,0.2,0.0
Marisma Oriental,2019-12-08,Landsat 7 ETM+,13.5,0.1,6.1
Marisma Oriental,2019-12-24,Landsat 7 ETM+,538.0,5.6,24.9
Marisma Oriental,2020-01-01,Landsat 8 OLI,16.1,0.2,0.1
Marisma Oriental,2020-02-02,Landsat 8 OLI,2155.0,22.5,10.3
Marisma Oriental,2020-02-10,Landsat 7 ETM+,2208.2,23.0,10.6
Marisma Oriental,2020-02-18,Landsat 8 OLI,1919.4,20.0,0.0
Marisma Oriental,2020-02-26,Landsat 7 ETM+,1506.0,15.7,6.8
Marisma Oriental,2020-03-29,Landsat 7 ETM+,1343.7,14.0,16.5
Marisma Oriental,2020-05-24,Landsat 8 OLI,1170.1,12.2,0.0
Marisma Oriental,2020-06-09,Landsat 8 OLI,169.0,1.8,2.1
Marisma Oriental,2020-06-17,Landsat 7 ETM+,53.9,0.6,8.2
Marisma Oriental,2020-07-03,Landsat 7 ETM+,4.6,0.0,7.7
Marisma Oriental,2020-07-11,Landsat 8 OLI,3.9,0.0,0.0
Marisma Oriental,2020-07-19,Landsat 7 ETM+,2.4,0.0,7.8
Marisma Oriental,2020-07-27,Landsat 8 OLI,6.4,0.1,0.0
Marisma Oriental,2020-08-04,Landsat 7 ETM+,31.0,0.3,15.9
Marisma Oriental,2020-08-20,Landsat 7 ETM+,3.8,0.0,7.5
Marisma Oriental,2020-08-28,Landsat 8 OLI,5.7,0.1,0.0
Entremuros,2019-09-03,Landsat 7 ETM+,212.2,8.1,7.5
Entremuros,2019-09-11,Landsat 8 OLI,173.7,6.6,0.0
Entremuros,2019-09-19,Landsat 7 ETM+,140.8,5.4,18.1
Entremuros,2019-09-27,Landsat 8 OLI,131.9,5.0,0.0
Entremuros,2019-10-13,Landsat 8 OLI,190.6,7.3,25.5
Entremuros,2019-10-21,Landsat 7 ETM+,201.2,7.7,8.3
Entremuros,2019-11-06,Landsat 7 ETM+,257.7,9.8,8.8
Entremuros,2019-11-30,Landsat 8 OLI,215.6,8.2,0.0
Entremuros,2019-12-08,Landsat 7 ETM+,231.8,8.8,8.5
Entremuros,2019-12-24,Landsat 7 ETM+,464.4,17.7,14.9
Entremuros,2020-01-01,Landsat 8 OLI,212.2,8.1,0.5
Entremuros,2020-02-02,Landsat 8 OLI,518.8,19.8,36.5
Entremuros,2020-02-10,Landsat 7 ETM+,438.3,16.7,12.2
Entremuros,2020-02-18,Landsat 8 OLI,472.1,18.0,1.2
Entremuros,2020-02-26,Landsat 7 ETM+,316.9,12.1,9.4
Entremuros,2020-03-29,Landsat 7 ETM+,397.1,15.2,16.3
Entremuros,2020-05-24,Landsat 8 OLI,373.9,14.3,0.0
Entremuros,2020-06-09,Landsat 8 OLI,163.5,6.2,0.8
Entremuros,2020-06-17,Landsat 7 ETM+,138.0,5.3,10.4
Entremuros,2020-07-03,Landsat 7 ETM+,102.4,3.9,10.1
Entremuros,2020-07-11,Landsat 8 OLI,90.1,3.4,0.0
Entremuros,2020-07-19,Landsat 7 ETM+,86.5,3.3,10.1
Entremuros,2020-07-27,Landsat 8 OLI,116.0,4.4,0.0
Entremuros,2020-08-04,Landsat 7 ETM+,103.0,3.9,19.0
Entremuros,2020-08-20,Landsat 7 ETM+,97.2,3.7,10.0
Entremuros,2020-08-28,Landsat 8 OLI,128.2,4.9,0.0
Veta la Palma (balsas),2019-09-03,Landsat 7 ETM+,2028.2,71.4,9.6
Veta la Palma (balsas),2019-09-11,Landsat 8 OLI,2030.7,71.5,4.9
Veta la Palma (balsas),2019-09-19,Landsat 7 ETM+,2051.8,72.2,31.9
Veta la Palma (balsas),2019-09-27,Landsat 8 OLI,2067.1,72.8,0.3
Veta la Palma (balsas),2019-10-13,Landsat 8 OLI,2076.8,73.1,4.4
Veta la Palma (balsas),2019-10-21,Landsat 7 ETM+,2123.1,74.8,9.4
Veta la Palma (balsas),2019-11-06,Landsat 7 ETM+,2177.5,76.7,11.9
Veta la Palma (balsas),2019-11-30,Landsat 8 OLI,2219.1,78.1,0.0
Veta la Palma (balsas),2019-12-08,Landsat 7 ETM+,2281.9,80.3,13.0
Veta la Palma (balsas),2019-12-24,Landsat 7 ETM+,2510.8,88.4,14.4
Veta la Palma (balsas),2020-01-01,Landsat 8 OLI,2436.9,85.8,3.7
Veta la Palma (balsas),2020-02-02,Landsat 8 OLI,2518.2,88.7,0.6
Veta la Palma (balsas),2020-02-10,Landsat 7 ETM+,2488.9,87.6,13.1
Veta la Palma (balsas),2020-02-18,Landsat 8 OLI,2503.0,88.1,2.8
Veta la Palma (balsas),2020-02-26,Landsat 7 ETM+,2447.5,86.2,10.0
Veta la Palma (balsas),2020-03-29,Landsat 7 ETM+,2498.7,88.0,16.6
Veta la Palma (balsas),2020-05-24,Landsat 8 OLI,2346.8,82.6,0.0
Veta la Palma (balsas),2020-06-09,Landsat 8 OLI,2303.3,81.1,7.5
Veta la Palma (balsas),2020-06-17,Landsat 7 ETM+,2223.1,78.3,16.5
Veta la Palma (balsas),2020-07-03,Landsat 7 ETM+,1956.1,68.9,10.5
